Tabella 1
Model Explorations;model_small;model_medium;model_large;model_small_test1;model_small_test2;;
Layer 1;Conv2D(32, (1, 1), ‘relu’);Conv2D(32, (2, 2), ‘relu’);Conv2D(32, (1, 1), ‘relu’);Conv2D(32, (1, 1), ‘relu’);Conv2D(32, (2, 2), ‘relu’);;
Layer 2;MaxPooling2D(2, 2);MaxPooling2D(1, 2);MaxPooling2D(1, 1);MaxPooling2D(2, 2);MaxPooling2D(1, 2);;
Layer 3;Conv2D(64, (2, 2), ‘relu’);Conv2D(64, (2, 2), ‘relu’);Conv2D(64, (1, 1), ‘relu’);Conv2D(64, (2, 2), ‘relu’);Conv2D(64, (2, 2), ‘relu’);;
Layer 4;MaxPooling2D(2, 2);MaxPooling2D(1, 2);MaxPooling2D(1, 1);MaxPooling2D(2, 2);MaxPooling2D(1, 2);;
Layer 5;Conv2D(128, (1, 1), ‘relu’);Conv2D(128, (2, 2), ‘relu’);Conv2D(128, (1, 1), ‘relu’);Conv2D(128, (1, 1), ‘relu’);Conv2D(128, (2, 2), ‘relu’);;
Layer 6;MaxPooling2D(2, 4);MaxPooling2D(1, 2);MaxPooling2D(1, 1);MaxPooling2D(2, 4);MaxPooling2D(1, 2);;
Layer 7;Flatten;Flatten;Flatten;Flatten;Flatten;;
Layer 8;Dense(‘sigmoid’);Dense(‘relu’);Dense(‘relu’);Dense(‘relu’);Dense(‘sigmoid’);;
Layer 9;;Dense(‘sigmoid’);Dense(‘sigmoid’);Dense(‘sigmoid’);;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Total params;18,498 (72.26 KB);1,876,962 (7.16 MB);21,637,826 (82.54 MB);131.778 (514.76 KB);70.242 (274.38 KB);;
Trainable params;18,498 (72.26 KB);1,876,962 (7.16 MB);21,637,826 (82.54 MB);131.778 (514.76 KB);70.242 (274.38 KB);;
Non-trainable par;0 (0.00 B);0 (0.00 B);0 (0.00 B);0 (0.00 B);0 (0.00 B);;
;;;;;;;
abs & phase;;;;;;;
Epochs = 10;;;;;;;
Test Accuracy;85.68%;90.88%;80.29%;85.97%;91.13%;;
;;;OVERFIT;;;;
After quantization;;;;;;;
Total params;25432 bytes (24.84 KB);1887848 bytes (1843.60 KB);;141800 bytes (138.48 KB);78072 bytes (76.24 KB);;
Test Accuracy;85.67%;90.92%;;85.94%;91.10%;;
;;;;;;;
phase;;;;;;;
Epochs = 10;;;;;;;
Test Accuracy;85.12%;92.58%;81.47%;86.24%;91.76%;;
;;;OVERFIT;;;;
After quantization;;;;;;;
Total params;25432 bytes (24.84 KB);1887848 bytes (1843.60 KB);;141800 bytes (138.48 KB);78072 bytes (76.24 KB);;
Test Accuracy;85.19%;92.55%;;86.19%;91.79%;;
